stereo_smiles,HOMO_eV,LUMO_eV,gap_eV,cov_crbn_label,electrophilicity_index_eV
O=C1CNC(=O)N1,-11.5909,-7.2864,4.3045,0,20.6965068701359
CC(=O)NC(N)=O,-11.1411,-7.0241,4.117,0,20.037314248239007
CC1CC(=O)NC(=O)C1,-11.4446418,-7.606958996,3.837682805,0,23.644703805200738
O=C1CC[C@H](NC(=O)c2cnc[nH]2)C(=O)N1,-10.72785339,-8.037833951,2.690019437,0,32.727553613227634
O=C1CC[C@@H](NC(=O)c2ccc3ccncc3c2)C(=O)N1,-10.24052115,-8.13472537,2.105795779,0,40.08575855716586
O=C1CC[C@H](NC(=O)c2ccc(F)cc2-c2ccc(Cl)c(Cl)c2)C(=O)N1,-11.02155674,-8.115267492,2.906289248,0,31.502201814433985
O=C1CC[C@@H](NC(=O)c2ccc(F)cc2-c2ccc(Cl)c(Cl)c2)C(=O)N1,-11.02214358,-8.115262926,2.906880652,0,31.497709367936157
Cc1nn(Cc2ccccc2Cl)c(Cl)c1C(=O)N[C@@H]1CCC(=O)NC1=O,-10.81809376,-7.881429347,2.936664415,0,29.76780072683475
Cc1nn(Cc2ccccc2Cl)c(Cl)c1C(=O)N[C@H]1CCC(=O)NC1=O,-10.81808606,-7.881674682,2.936411378,0,29.7711225365001
C[C@H](NC1=CC(=O)N([C@@H]2CCC(=O)NC2=O)C1=O)c1ccc(C(F)(F)F)cc1,-10.90905467,-8.726890685,2.182163981,1,44.172934910218615
C[C@@H](NC1=CC(=O)N([C@@H]2CCC(=O)NC2=O)C1=O)c1ccc(C(F)(F)F)cc1,-10.9074472,-8.724262773,2.183184426,1,44.13324315093704
C[C@H](NC1=CC(=O)N([C@H]2CCC(=O)NC2=O)C1=O)c1ccc(C(F)(F)F)cc1,-10.90623019,-8.730056099,2.176174089,1,44.296058524522
C[C@@H](NC1=CC(=O)N([C@H]2CCC(=O)NC2=O)C1=O)c1ccc(C(F)(F)F)cc1,-10.87358952,-8.696696371,2.176893147,1,43.984254622612575
Cc1oc(C(=O)N[C@@H]2CCC(=O)NC2=O)cc1CN1C(=O)c2ccccc2C1=O,-10.85517955,-8.691983422,2.163196127,0,44.15822211921055
Cc1oc(C(=O)N[C@H]2CCC(=O)NC2=O)cc1CN1C(=O)c2ccccc2C1=O,-10.85528561,-8.692579283,2.162706328,0,44.17139499336845
O=C1CC[C@H](NC(=O)c2ccc3ccccc3n2)C(=O)N1,-10.29009414,-8.090243489,2.199850647,0,38.393153168915276
O=C1CC[C@H](N2C(=O)c3ccc(OCc4cc(C5CC5)no4)cc3C2=O)C(=O)N1,-11.30191229,-8.714675004,2.587237288,0,38.71540588455703
O=C1CC[C@@H](N2C(=O)c3ccc(OCc4cc(C5CC5)no4)cc3C2=O)C(=O)N1,-10.61666402,-8.625412399,1.99125162,0,46.485524631316544
COc1cc(COc2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3=O)ccn1,-11.30914346,-8.709237998,2.599905466,0,38.53366991978913
COc1cc(COc2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)ccn1,-10.60359475,-8.625821255,1.977773498,0,46.74074663596161
