molecule_id,filename,avg_homo_ev,avg_lumo_ev,avg_gap_ev,gm_uma_energy_ev,num_conformers
0,ligand_0.sdf,-11.5909,-7.2864,4.3045,-10252.26328,1
1,ligand_1.sdf,-11.1411,-7.0241,4.117,-10284.50269,1
10,ligand_10.sdf,-11.4446418,-7.606958996,3.837682805,-11954.38152,2
100,ligand_100.sdf,-10.72785339,-8.037833951,2.690019437,-21600.1726,4
1000,ligand_1000.sdf,-10.24052115,-8.13472537,2.105795779,-26380.89292,3
10000,ligand_10000.sdf,-11.02155674,-8.115267492,2.906289248,-55764.49153,13
10001,ligand_10001.sdf,-11.02214358,-8.115262926,2.906880652,-55764.49103,12
10002,ligand_10002.sdf,-10.81809376,-7.881429347,2.936664415,-55038.54753,9
10003,ligand_10003.sdf,-10.81808606,-7.881674682,2.936411378,-55038.54909,8
10004,ligand_10004.sdf,-10.90905467,-8.726890685,2.182163981,-39741.40547,11
10005,ligand_10005.sdf,-10.9074472,-8.724262773,2.183184426,-39741.40919,13
10006,ligand_10006.sdf,-10.90623019,-8.730056099,2.176174089,-39741.39855,13
10007,ligand_10007.sdf,-10.87358952,-8.696696371,2.176893147,-39741.41083,13
10008,ligand_10008.sdf,-10.85517955,-8.691983422,2.163196127,-37773.94378,4
10009,ligand_10009.sdf,-10.85528561,-8.692579283,2.162706328,-37773.94605,4
1001,ligand_1001.sdf,-10.29009414,-8.090243489,2.199850647,-26380.86138,4
10010,ligand_10010.sdf,-11.30191229,-8.714675004,2.587237288,-37771.14074,18
10011,ligand_10011.sdf,-10.61666402,-8.625412399,1.99125162,-37773.16503,14
10012,ligand_10012.sdf,-11.30914346,-8.709237998,2.599905466,-37771.13505,14
10013,ligand_10013.sdf,-10.60359475,-8.625821255,1.977773498,-37773.1692,15
10014,ligand_10014.sdf,-10.31896736,-8.019746024,2.299221334,-37668.54993,15
10015,ligand_10015.sdf,-10.31353084,-8.027399647,2.286131194,-37668.5476,17
10016,ligand_10016.sdf,-10.05753217,-8.034056338,2.023475827,-37669.11003,17
10017,ligand_10017.sdf,-10.02525102,-8.047282193,1.977968829,-37669.08566,18
10018,ligand_10018.sdf,-10.46456461,-7.803162952,2.661401661,-37669.4456,28
10019,ligand_10019.sdf,-10.0102852,-8.054806127,1.955479074,-37669.28875,34
1002,ligand_1002.sdf,-10.29008639,-8.090180704,2.19990569,-26380.85989,4
10020,ligand_10020.sdf,-10.0638491,-8.074096719,1.989752377,-37668.68031,24
10021,ligand_10021.sdf,-9.982163886,-8.063807092,1.918356794,-37668.62752,24
10022,ligand_10022.sdf,-10.00619999,-8.047111803,1.959088185,-37669.28913,24
10023,ligand_10023.sdf,-10.39620658,-7.923070264,2.473136319,-37669.44444,26
10024,ligand_10024.sdf,-10.23076317,-8.351368859,1.879394314,-37668.40024,17
10025,ligand_10025.sdf,-10.23132505,-8.350061448,1.881263604,-37668.40015,19
10026,ligand_10026.sdf,-10.27776374,-8.386730372,1.891033371,-37669.68305,10
10027,ligand_10027.sdf,-10.17365281,-8.515747599,1.657905207,-37669.68867,8
10028,ligand_10028.sdf,-10.57414586,-7.999080277,2.575065587,-37669.32767,8
10029,ligand_10029.sdf,-10.56778949,-8.010459858,2.557329631,-37669.32459,11
1003,ligand_1003.sdf,-10.3208887,-8.059186323,2.261702381,-26380.79053,8
10030,ligand_10030.sdf,-10.47280713,-7.889150306,2.583656827,-37668.97116,19
10031,ligand_10031.sdf,-10.38055941,-7.910130789,2.470428626,-37668.96194,21
10032,ligand_10032.sdf,-10.89667625,-8.968371416,1.928304832,-37669.50426,21
10033,ligand_10033.sdf,-10.90053605,-8.966729722,1.933806326,-37669.49261,28
10034,ligand_10034.sdf,-10.70774948,-8.637052151,2.070697329,-37667.94814,18
10035,ligand_10035.sdf,-10.70848994,-8.636272638,2.072217303,-37667.9567,16
10036,ligand_10036.sdf,-10.89957207,-8.631030952,2.268541121,-37669.5291,8
10037,ligand_10037.sdf,-10.89954856,-8.631122134,2.268426423,-37669.53226,8
10038,ligand_10038.sdf,-10.41132186,-8.120024484,2.291297374,-37563.71787,14
10039,ligand_10039.sdf,-10.46939717,-8.174564192,2.294832976,-37563.74719,15
1004,ligand_1004.sdf,-10.32091544,-8.059592583,2.261322861,-26380.7874,5
10040,ligand_10040.sdf,-10.13479852,-7.960885899,2.17391262,-37565.33696,10
10041,ligand_10041.sdf,-10.87109727,-7.786707211,3.084390059,-37565.1685,26
10042,ligand_10042.sdf,-10.87812714,-7.833864228,3.044262913,-37565.1439,25
10043,ligand_10043.sdf,-10.13407365,-7.960512697,2.173560951,-37565.33476,9
10044,ligand_10044.sdf,-10.69795188,-8.121989412,2.575962463,-37562.86323,19
10045,ligand_10045.sdf,-10.63175839,-8.150610516,2.481147872,-37563.02601,24
10046,ligand_10046.sdf,-10.12913695,-7.911608791,2.21752816,-37565.43225,23
10047,ligand_10047.sdf,-10.13225745,-7.910776116,2.221481332,-37565.43194,29
10048,ligand_10048.sdf,-10.73321225,-8.026973272,2.706238979,-37459.22095,10
10049,ligand_10049.sdf,-10.77199592,-8.025438021,2.746557903,-37459.22815,9
1005,ligand_1005.sdf,-10.38682292,-8.226077322,2.160745601,-26381.08159,2
10050,ligand_10050.sdf,-10.75714164,-8.025540493,2.731601146,-37459.22533,10
10051,ligand_10051.sdf,-10.73601559,-8.02704571,2.708969877,-37459.22556,10
10052,ligand_10052.sdf,-9.974295657,-7.98470765,1.989588007,-37460.13235,19
10053,ligand_10053.sdf,-9.953651716,-8.071859532,1.881792184,-37460.21123,21
10054,ligand_10054.sdf,-10.51891228,-7.520577521,2.998334755,-37449.96836,14
10055,ligand_10055.sdf,-10.60825584,-7.568633506,3.039622332,-37449.97198,11
10056,ligand_10056.sdf,-10.59126237,-7.590497753,3.000764621,-37449.97009,13
10057,ligand_10057.sdf,-10.58425669,-7.686347167,2.897909526,-37450.11414,14
10058,ligand_10058.sdf,-10.75113909,-7.881664184,2.869474909,-37449.8204,12
10059,ligand_10059.sdf,-10.77774434,-7.91749337,2.860250966,-37449.69689,12
1006,ligand_1006.sdf,-10.38691347,-8.226069275,2.160844199,-26381.07946,2
10060,ligand_10060.sdf,-10.80856683,-7.951143533,2.857423299,-37449.69178,13
10061,ligand_10061.sdf,-10.73050037,-7.867225943,2.863274426,-37449.783,9
10062,ligand_10062.sdf,-10.58946769,-7.624181981,2.96528571,-37240.37157,26
10063,ligand_10063.sdf,-10.6780401,-7.675056907,3.002983196,-36827.74342,22
10064,ligand_10064.sdf,-10.69389485,-7.644468913,3.049425937,-36827.72021,19
10065,ligand_10065.sdf,-10.68876372,-7.651638326,3.037125394,-36827.72055,24
10066,ligand_10066.sdf,-10.61628616,-7.663343382,2.952942778,-36827.73815,22
10067,ligand_10067.sdf,-10.50802902,-7.447489596,3.060539425,-36827.6083,19
10068,ligand_10068.sdf,-10.51143581,-7.448058209,3.063377605,-36827.60779,17
10069,ligand_10069.sdf,-10.58187731,-7.962727773,2.619149534,-36825.96082,16
1007,ligand_1007.sdf,-10.99433981,-7.856643592,3.137696222,-35114.8909,8
10070,ligand_10070.sdf,-10.60303776,-7.969347446,2.63369031,-36825.93819,21
10071,ligand_10071.sdf,-10.52297317,-7.907517251,2.615455915,-36826.0652,20
10072,ligand_10072.sdf,-10.44847514,-7.736730621,2.711744521,-36825.85013,18
10073,ligand_10073.sdf,-10.51190801,-7.910164023,2.601743987,-36723.94285,25
10074,ligand_10074.sdf,-10.52307753,-7.915371021,2.607706507,-36723.95945,25
10075,ligand_10075.sdf,-10.14941551,-8.510545613,1.638869902,-36723.2151,17
10076,ligand_10076.sdf,-10.19044474,-8.513762645,1.676682093,-36723.19521,18
10077,ligand_10077.sdf,-10.13426086,-8.497268763,1.6369921,-36723.19135,18
10078,ligand_10078.sdf,-10.18078091,-8.472533541,1.708247368,-36723.19235,18
10079,ligand_10079.sdf,-10.38934227,-7.797056387,2.59228588,-36723.9166,24
1008,ligand_1008.sdf,-11.06483837,-7.93941724,3.125421134,-35114.86238,11
10080,ligand_10080.sdf,-10.39903111,-7.814638612,2.584392495,-36723.91874,28
10081,ligand_10081.sdf,-10.11100403,-7.875069978,2.235934049,-36723.47744,24
10082,ligand_10082.sdf,-10.13458841,-7.894267601,2.240320806,-36723.48777,25
10083,ligand_10083.sdf,-10.50751568,-7.900573729,2.606941949,-36723.73303,18
10084,ligand_10084.sdf,-10.51695064,-7.893240916,2.623709721,-36723.73402,24
10085,ligand_10085.sdf,-10.43319464,-8.027447701,2.40574694,-36724.07933,19
10086,ligand_10086.sdf,-10.43573868,-8.031907015,2.403831661,-36724.08124,19
