"Molecule (Canonical)","ExactMW","Source"
"Cc1ccc(C=C(C#N)C(N)=O)o1",176.058577496,"Fragment"
"Cc1cc(Br)cc(C=C(C#N)C(N)=O)c1",263.989825008,"Fragment"
"N#CC(=Cc1cccnc1)C(=O)NCc1ccccc1",263.105862036,"Fragment"
"COC(=O)C(C#N)=Cc1ccc(C(=O)OC)o1",235.048072388,"Fragment"
"COc1ccc(CNC(=O)C(C#N)=CN(C)C)cc1",259.132076784,"Fragment"
"Cc1cc(C=C(C#N)C(=O)O)c(C)n1-c1ccccc1F",284.096105876,"Fragment"
"Cc1cc(C=C(C#N)C(=O)NS(C)(=O)=O)c(C)n1CC1CCCO1",351.125277152,"Fragment"
"COC(=O)C(C#N)=Cc1cccc(OCc2ccccc2)c1",293.10519334,"Fragment"
"CC(NC(=O)C(C#N)=Cc1ccco1)c1cccc(-n2ccnc2)c1",332.127325752,"Fragment"
"CCCn1c(C)cc(C=C(C#N)C(=O)Nc2ccccc2)c1C",307.168462292,"Fragment"
"CCc1ccc(NC(=O)C(C#N)=Cc2ccc(F)c(C#N)c2)cc1",319.112090288,"Fragment"
"Cc1nn(Cc2ccc(F)cc2)c(Cl)c1C=C(C#N)C(=O)O",319.052382492,"Fragment"
"CC(NC(=O)C(C#N)=Cc1ccccc1Cl)c1ccccc1",310.08729078000005,"Fragment"
"N#CC(=Cc1ccc(CSC(F)F)o1)C(N)=O",258.027454936,"Fragment"
"N#CC(=Cc1ccc(N2CCCCC2)cc1)C(N)=O",255.137162164,"Fragment"
"CCOc1ccc(C=C(C#N)C(=O)NCc2ccco2)cc1",296.116092372,"Fragment"
"CC(=O)Nc1ccc(C=C(C#N)C(N)=O)cc1",229.085126592,"Fragment"
"Cc1ccc(C=C(C#N)C(=O)NC(C)C)o1",218.105527688,"Fragment"
"N#CC(=Cc1ccc(N2CCCCC2)cc1)C(=O)NC1CC1",295.168462292,"Fragment"
"Cc1ccc(C)c(C=C(C#N)C(=O)NC(C)C)c1",242.141913196,"Fragment"
"CC1CCCCC1NC(=O)C(C#N)=Cc1cccs1",274.113984196,"Fragment"
"CC(C)Oc1ccccc1C=C(C#N)C(=O)Nc1ccccc1",306.136827816,"Fragment"
"Cc1cc(C=C(C#N)C(=O)NC2CC2)c(C)n1C1CC1",269.152812228,"Fragment"
"Cc1ccc(C=C(C#N)C(=O)NC2CCCCC2C)o1",272.15247788,"Fragment"
"CCOc1ccccc1NC(=O)C(C#N)=Cc1ccc2c(c1)OCO2",336.11100699199994,"Fragment"
"CCc1cccc(CC)c1NC(=O)C(C#N)=Cc1ccc(C)o1",308.15247787999994,"Fragment"
"CCOc1ccc(C=C(C#N)C(=O)NC2CC2)cc1OC",286.131742436,"Fragment"
"N#CC(=Cc1ccncc1)C(=O)Nc1ccc(C(=O)O)cc1",293.080041212,"Fragment"
"N#CC(=Cc1ccsc1)C(=O)NC1CCCCC1",260.098334132,"Fragment"
"C=CCNC(=O)C(C#N)=Cc1ccccc1[N+](=O)[O-]",257.080041212,"Fragment"
"C=CCNC(=O)C(C#N)=Cc1ccc(OC)cc1",242.105527688,"Fragment"
"C=CCNC(=O)C(C#N)=Cc1ccc(C(C)C)cc1",254.141913196,"Fragment"
"C=CCNC(=O)C(C#N)=Cc1ccc(C)o1",216.089877624,"Fragment"
"COc1ccc(NC(=O)C(C#N)=Cc2cccc(Cl)c2Cl)cc1",346.027582984,"Fragment"
"N#CC(=Cc1ccco1)C(=O)Nc1ccc2c(c1)OCCO2",296.079706864,"Fragment"
"CC(C)OC(=O)C(C#N)=Cc1ccc(N2CCOCC2)cc1",300.1473925,"Fragment"
"N#CC(=Cc1ccccc1OC(F)F)C(=O)Nc1nccs1",321.038353968,"Fragment"
"COc1cccc(C=C(C#N)C(=O)Nc2ccccc2C(=O)O)c1",322.09535692799994,"Fragment"
"Cc1ccc(C=C(C#N)C(=O)Nc2ccc(C(=O)N(C)C)cc2)o1",323.12699140399997,"Fragment"
"N#CC(=Cc1c(Cl)nc2ccccn12)C(=O)Nc1ccccc1Cl",356.02316629999996,"Fragment"
"COc1ccc(C=C(C#N)C(=O)OCC(=O)c2ccc[nH]2)cc1",310.095356928,"Fragment"
"N#CC(=Cc1ccc(-c2ccccc2[N+](=O)[O-])o1)C(N)=O",283.059305768,"Fragment"
"CCOC(=O)C(C#N)=Cc1cc(C(=O)OCC)c(N)s1",294.067427928,"Fragment"
"CCOC(=O)C(C#N)=Cc1ccc(N2C(=O)c3ccccc3C2=O)cc1",346.095356928,"Fragment"
"N#CC(=Cc1ccccc1)C(=O)OCC1CCCO1",257.10519334,"Fragment"
"CC1Cc2ccccc2N1C(=O)C(C#N)=Cc1ccccc1",288.12626313199996,"Fragment"
"N#CC(=Cc1ccccc1)C(=O)OCC(=O)N1CCCC1",284.116092372,"Fragment"
"CCOC(=O)C(C#N)=CNC(=O)c1ccco1",234.0640568,"Fragment"
"CCOC(=O)C(C#N)=Cc1cc(C)n(C(C)C)c1C",260.15247788,"Fragment"
"COc1c(Cl)cc(Cl)cc1C=C(C#N)C(N)=O",269.996282856,"Fragment"
"CCOC(=O)C(C#N)=Cc1c(-c2ccccc2)nc2ccccn12",317.11642672000005,"Fragment"
"C=CCNC(=O)C(C#N)=Cc1ccc(OCc2ccncc2)cc1",319.132076784,"Fragment"
"Cc1cc(C=C(C#N)C(=O)NCC2CCCO2)ccc1F",288.127406004,"Fragment"
"CCOC(=O)C(C#N)=CC=C1Sc2ccccc2N1C",286.077598688,"Fragment"
"Cc1cn2c(C=C(C#N)C(=O)NC3CC3)c(C)nc2s1",286.088832068,"Fragment"
"N#CC(=Cc1cccc(F)c1F)C(=O)NC(N)=O",251.050632904,"Fragment"
