"Core index","First(First(Core))"
"core_1","[#8]=[#6]1-[#6]-[#6]-[#6](-[#7]2-[#6](-[#6]3:[#6]:[#6]:[#6](-[#6](=[#8])-[#0:1]):[#6]:[#6]:3-[#6]-2-[#0:2])-[#0:3])-[#6](=[#8])-[#7]-1"
"core_10","[#8]=[#6]1-[#6]-[#6]-[#6](-[#7]-[#6](=[#8])-[#6]-[#0:1])-[#6](=[#8])-[#7]-1"
"core_2","[#8]=[#6]1-[#6]-[#6]-[#6](-[#7]2-[#6]-[#6]3:[#6]:[#6](:[#6](:[#6]:[#6]:3-[#6]-2=[#8])-[#0:2])-[#0:1])-[#6](=[#8])-[#7]-1"
"core_3","[#8]=[#6]1-[#6]-[#6]-[#6](-[#7]2-[#6]-[#6]3:[#6](-[#6](=[#8])-[#0:1]):[#6]:[#6]:[#6]:[#6]:3-[#6]-2=[#8])-[#6](=[#8])-[#7]-1"
"core_4","[#6](-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6]:1-[#6]-[#7](-[#6]1-[#6]-[#6]-[#6](=[#8])-[#7]-[#6]-1=[#8])-[#6]-2=[#8])-[#0:1]"
"core_5","[#7](-[#6]-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#6](=[#8])-[#7](-[#6]1-[#6]-[#6]-[#6](=[#8])-[#7]-[#6]-1=[#8])-[#6]-2)-[#0:1]"
"core_6","[#6](-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#6](-[#7](-[#6]1-[#6]-[#6]-[#6](=[#8])-[#7]-[#6]-1=[#8])-[#6]-2-[#0:1])-[#0:2])-[#0:3]"
"core_7","[#6](-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6]:1-[#6]-[#7](-[#6]1-[#6]-[#6]-[#6](=[#8])-[#7]-[#6]-1=[#8])-[#6]-2=[#8])-[#0:1]"
"core_8","[#6]1(:[#6]:[#6]:[#6]:[#6]2:[#6]:1-[#6]-[#7](-[#6]1-[#6]-[#6]-[#6](=[#8])-[#7]-[#6]-1=[#8])-[#6]-2=[#8])-[#0:1]"
"core_9","[#8]=[#6]1-[#6]-[#6]-[#6](-[#7]2-[#6](-[#6]3:[#6]:[#6](-[#6](=[#8])-[#7]-[#0:1]):[#6]:[#6]:[#6]:3-[#6]-2-[#0:2])-[#0:3])-[#6](=[#8])-[#7]-1"
