smiles,cov_crbn_label
N#CN1CCC(c2cc(C(=O)Nc3cccc(C4CCC(=O)NC4=O)c3)cc3c2CCCC3)CC1,1
O=C1CCC(NC(=O)c2ncc3c(n2)CCNC3)C(=O)N1,0
N#CN1CCC(c2ccncc2-c2ncc(C(=O)NC3CCC(=O)NC3=O)s2)C1,1
N#CN1CCC(c2ccccc2-c2cccc(C(=O)NC3CCC(=O)NC3=O)n2)C1,1
N#CN1CCC(c2cncnc2-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)C1,1
COc1cc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc2[nH]ncc12,0
CCN(Cc1ccccc1)c1ccc(C(=O)NC2CCC(=O)NC2=O)cc1,0
O=C1CCC(NC(=O)c2cc(Cn3cc(Br)cn3)on2)C(=O)N1,0
CN1CCn2cc(C(=O)NC3CCC(=O)NC3=O)nc2C1=O,0
O=C1CCC(NC(=O)c2cnn3c(-c4ccccc4)cc(C(F)F)nc23)C(=O)N1,0
O=C1CCC(N2Cc3c(cccc3-c3cc4c(c(OS(=O)(=O)F)c3)CCO4)C2=O)C(=O)N1,1
O=C1CCC(N2Cc3c(cccc3-c3ccc4c(c3)OCC4)C2=O)C(=O)N1,0
N#CN1CCCC(c2cc(-c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)ccn2)C1,1
COc1cccc2c1CC(Nc1ccc(N3CCC(=O)NC3=O)c(C)c1)CO2,0
CC1(C(=O)Nc2ccc(C3CCC(=O)NC3=O)cc2)COc2ccccc2O1,0
O=C1CCC(c2ccc(NC(=O)C3COc4ccc(S(=O)(=O)F)cc4O3)cc2)C(=O)N1,1
O=C1CCC(c2ccc(NC(=O)C3COc4cccc(S(=O)(=O)F)c4O3)cc2)C(=O)N1,1
N#CN1CCC(c2ccc(=O)n(Cc3cn(C4CCC(=O)NC4=O)nn3)c2)C1,1
N#CN1CCC(c2cnnn2-c2cncc(C(=O)NC3CCC(=O)NC3=O)c2)CC1,1
O=C1CCC(NC(=O)c2cc(CNC(=O)c3ccc4[nH]ccc4n3)n[nH]2)C(=O)N1,0
N#CN1CCC(c2cccnc2-c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)C1,1
O=C1CCC(N2Cc3cc(C(=O)NCCC4CCCN4)ccc3C2=O)C(=O)N1,0
