batch_size,hidden_dim,learning_rate,gcn_test_acc,gcn_test_mcc,gin_test_acc,gin_test_mcc,gat_test_acc,gat_test_mcc
16,8,0.0001,0.5584993350352702,0.30971489649158457,0.9787867533699363,0.9547328477946437,0.8495401012635787,0.6737583197855136
16,8,0.0005,0.969416845316626,0.9345437547826841,0.985384499402321,0.9684672574468168,0.977181115333532,0.9509982429201048
16,8,0.001,0.9723101779584667,0.9405490036369547,0.9868390274725846,0.971589586622053,0.9798184011939574,0.9568432162206434
16,16,0.0001,0.9080202005617375,0.8269812868154628,0.9814452054683068,0.9606072933360595,0.9724342948799061,0.9408399366446211
16,16,0.0005,0.9733633760879304,0.9428415572903054,0.9879382725134582,0.9741675311484198,0.9799256424142175,0.9573448978649477
16,16,0.001,0.9757473694337161,0.9479272278950099,0.9909529678099626,0.9805536234509243,0.9819502542275961,0.9614605056438249
16,32,0.0001,0.9609191804935486,0.916458674528998,0.9836798171516907,0.9652734505402959,0.976781579490764,0.9504261370114272
16,32,0.0005,0.9799454644159211,0.9573167654087257,0.9908904292648709,0.9805348745667523,0.986143416777496,0.9701250997976335
16,32,0.001,0.9804079228712784,0.9578811886007651,0.9895182617414027,0.977533238441389,0.9895182617414027,0.9773973446426188
16,64,0.0001,0.9671422713566299,0.929309157542718,0.9862504659640073,0.9705416977322541,0.9774349839494181,0.9516082539471311
16,64,0.0005,0.9851931693315265,0.9679393476233483,0.9897503880180971,0.9779596511759125,0.980894685898854,0.959070848959228
16,64,0.001,0.9856997543608058,0.9691657426832911,0.988738370162031,0.9758782715769064,0.9848790665755341,0.9673866364191962
32,8,0.0001,0.5636280474954899,0.3235500164428973,0.9632145366239925,0.9202120914688595,0.5876337207886485,0.3405893574631431
32,8,0.0005,0.9688486819109988,0.9332836039462844,0.9825372794661829,0.9625007821217549,0.9786154373345944,0.9541488102360239
32,8,0.001,0.9742293426496169,0.9447289277707296,0.9878951719025727,0.9740856892974947,0.9783835030916487,0.9536343374319434
32,16,0.0001,0.7302046936619281,0.5377334849876955,0.9807284285352732,0.9590464318139363,0.5684574133083352,0.28214552622525957
