"Molecule (Canonical)","ExactMW","label"
"Cc1ccc(C=C(C#N)C(N)=O)o1",176.058577496,"Covalent"
"N#C/C(=C\c1ccoc1)C(=O)O",163.02694302,"Covalent"
"N#CC(=Cc1cccs1)C(N)=O",178.020083812,"Covalent"
"N#CC(=Cc1ccsc1)C(N)=O",178.020083812,"Covalent"
"Cn1cc(C=C(C#N)C(=O)O)cn1",177.053826464,"Covalent"
"CCOC(=O)C(C#N)=Cc1ccco1",191.058243148,"Covalent"
"N#C/C(=C\c1cccnc1)C(N)=O",173.058911844,"Covalent"
"CC#CC(=O)NCC1CCN(C)C1=O",194.105527688,"Covalent"
"CC#CC(=O)NCc1cnccn1",175.074561908,"Covalent"
"C=CCn1cc(NC(=O)C#CC)cn1",189.090211972,"Covalent"
"C=CC(=O)N1CCNC(=O)C1",154.07422756,"Covalent"
"C=CC(=O)N1CCC(C(N)=O)C1",168.089877624,"Covalent"
"C=CC(=O)NCc1ncc(C)o1",166.07422756,"Covalent"
"C=CC(=O)N1CCC(N(C)C)CC1",182.141913196,"Covalent"
"C=CC(=O)N1Cc2ccccc2C1",173.084063972,"Covalent"
"C=CC(=O)N1CCCC[C@H]1C(=O)O",183.089543276,"Covalent"
"C=CC(=O)N1CCCC(NC(C)=O)C1",196.121177752,"Covalent"
"C=CC(=O)NC1CC(C)OC1C",169.11027872,"Covalent"
"C=CC(=O)NC(C)c1csnn1",183.046632908,"Covalent"
"C=CC(=O)N(C)C1CCCOC1",169.11027872,"Covalent"
"C=CC(=O)Nc1cc(CC)on1",166.07422756,"Covalent"
"C=CC(=O)NC1CCCC2OCCC12",195.125928784,"Covalent"
"C=CC(=O)Nc1ccc(C2CC2)nn1",189.090211972,"Covalent"
"C=CC(=O)Nc1cccc2c1CCO2",189.078978592,"Covalent"
"C=CC(=O)NCC1SCCS1",189.028205972,"Covalent"
"C=CC(=O)NC1CC2CCC(C2)C1",179.131014164,"Covalent"
"C=CC(=O)N[C@H]1[C@@H]2COC[C@@H]21",153.078978592,"Covalent"
"C=CC(=O)N1CCC2(COC2)C1",167.094628656,"Covalent"
"C=CC(=O)N1Cc2cccnc2C1",174.07931294,"Covalent"
"C=CC(=O)NCc1ccc[nH]c1=O",178.07422756,"Covalent"
"C=CC(=O)Nc1ccc(OC)nn1",179.069476528,"Covalent"
"C=CC(=O)NCc1cnnn1CC",180.101111004,"Covalent"
"C=CC(=O)N1CC2COCC(C1)O2",183.089543276,"Covalent"
"C=CC(=O)N(C)CC1COCCO1",185.10519334,"Covalent"
"C=CC(=O)N1Cc2ccccc2[C@H]1C",187.099714036,"Covalent"
"C=CC(=O)N1CC(c2ccccc2)C1",187.099714036,"Covalent"
"C=CC(=O)Nc1cccc2c1OCC2",189.078978592,"Covalent"
"C=CC(=O)Nc1nccc(C2CC2)n1",189.090211972,"Covalent"
"C=CC(=O)N1CCc2ccn(C)c2C1",190.110613068,"Covalent"
"C=CC(=O)N(C)Cc1ccnn1CC",193.1215121,"Covalent"
"C=CC(=O)N[C@@H](C)C1CCCC(C)C1",195.162314292,"Covalent"
"C=CC(=O)NC1CC(=O)N(CCC)C1",196.121177752,"Covalent"
"C=CC(=O)NC(C)(C)C1CCOCC1",197.141578848,"Covalent"
"C=CC(=O)NCCN1CCOCC1=O",198.100442308,"Covalent"
"C=CC(=O)N[C@H]1C[C@H](C(=O)OC)C1",183.089543276,"Covalent"
