sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds
COC=1C=CC(C=C(C#N)C(=O)NC2CCCCC2C)=CC1O,Z44320200,314.38,314.38,2.958,-4.136,2,4,82.35,5
CC1=CC(C=C(C#N)C(=O)NC=2C=CC=C(C)C2)=C(C)N1C=3C=C(C=CC3Cl)C(F)(F)F,Z44320804,457.876,457.876,7.349,-6.97,1,2,57.82,6
CCCCC=1C=CC(=CC1)NC(=O)C(C#N)=CC=2C=CC(=CC2)C(=O)OC,Z44325426,362.423,362.423,5.042,-6.53,1,3,79.19,9
N#CC(=CC=1C=CC=CC1C(F)(F)F)C(=O)NC2=CC=C(Cl)C=C2Cl,Z44338310,385.167,385.167,4.794,-6.692,1,2,52.89,4
CCOC(=O)C=1C=CC(=CC1)NC(=O)C(C#N)=CC2=CC=CC(=C2)[N+]([O-])=O,Z44343500,365.34,365.34,3.697,-5.525,1,5,122.33,8
N#CC(=CC=1C=CC(=CC1)C=2C=CC=CC2)C(=O)NCCC=3C=CC=CC3,Z44322550,352.429,352.429,5.211,-6.49,1,2,52.89,6
CCCCC=1C=CC(=CC1)NC(=O)C(C#N)=CC=2C=CC(=CC2)C(C)(C)C,Z44325437,360.493,360.493,6.899,-7.85,1,2,52.89,8
CCOC(=O)C=1C=CC(=CC1)NC(=O)C(C#N)=CC=2C=CC(=CC2)OCC,Z44343557,364.395,364.395,4.402,-5.17,1,4,88.42,9
N#CC(=CC=1C=CC=2OCCOC2C1)C(=O)NC3CCCCC3,Z44319172,312.364,312.364,3.181,-4.581,1,4,71.35,3
CCC1=CC=CC(CC)=C1NC(=O)C(C#N)=CC=2SC=CC2C,Z44322070,324.442,324.442,3.448,-5.987,1,2,52.89,6
COC=1C=CC(=CC1OC)CCNC(=O)C(C#N)=CC=2C=CC(=CC2)C(=O)O,Z44327275,380.395,380.395,2.724,-4.209,2,6,108.65,9
CCOC=1C=CC=CC1NC(=O)C(C#N)=CC2=CC=C(O2)C=3C=CC(=CC3)S(=O)(=O)N4CCOCC4,Z44330717,507.56,507.56,3.416,-6.43,1,6,121.87,9
N#CC(=CC=CC1=CC=CC=C1[N+]([O-])=O)C(=O)NC2CCCCC2,Z44319207,325.363,325.363,3.604,-5.406,1,4,96.03,6
COC=1C=C(Cl)C(C)=CC1NC(=O)C(C#N)=CC=2C=CC=CC2OC(F)F,Z44321549,392.784,392.784,4.247,-5.797,1,4,71.35,7
COC=1C=CC(C=C(C#N)C(=O)NC=2C=CC(=CC2)C(=O)O)=CC1,Z44345939,322.316,322.316,2.943,-4.366,2,5,99.42,6
COC1=CC=C2C=CC=CC2=C1C=C(C#N)C(=O)NC3CCCCC3,Z44319227,334.412,334.412,4.35,-5.962,1,3,62.12,5
N#CC(=CC=1C=CC=CC1OCC(=O)O)C(=O)NC2CCCCC2,Z44319228,328.363,328.363,2.464,-4.141,2,5,99.42,7
CC1=CC(C=C(C#N)C(=O)NC=2C=CC=C(C)C2)=C(C)N1C3CC3,Z44320981,319.401,319.401,4.14,-3.896,1,2,57.82,5
CCC1=CC=CC(CC)=C1NC(=O)C(C#N)=CC=2C=CC(OC(=O)C=3C=CC(F)=CC3)=C(C2)OC,Z44322124,472.509,472.509,4.663,-8.11,1,4,88.42,10
N#CC(=CC=1C=CC=CC1OCC(=O)O)C(=O)NC2=CC=CC=C2Cl,Z44324453,356.76,356.76,2.315,-5.004,2,5,99.42,7
COC=1C=CC=CC1C=CC=C(C#N)C(=O)NCCC=2C=CC(OC)=C(C2)OC,Z44327350,392.449,392.449,3.504,-4.702,1,5,80.58,10
CC=1C=CC=C(C=C(C#N)C(=O)NC=2C=CC(=CC2)C(=O)O)C1,Z44345993,306.316,306.316,3.523,-4.867,2,4,90.19,5
C=CCOC=1C=CC=CC1C=C(C#N)C(=O)NC=2C=CC(=CC2)S(N)(=O)=O,Z44350124,383.423,383.423,2.165,-4.889,2,5,122.28,8
CCOC=1C=C(C=C(C#N)C(=O)NC=2C=CC(=CC2)S(N)(=O)=O)C=C(Cl)C1OC,Z44350132,435.883,435.883,2.214,-5.112,2,6,131.51,8
COC=1C=C(C=C(C#N)C(=O)NC2CCCCC2)C=CC1OC(=O)C3=CC=CS3,Z44319269,410.488,410.488,4.143,-6.218,1,4,88.42,8
COC=1C=C(Cl)C(C)=CC1NC(=O)C(C#N)=CC=2C=CSC2,Z44321613,332.806,332.806,3.528,-4.908,1,3,62.12,5
C=CCNC(=O)C(C#N)=CC=1C=CC(=CC1)OCCC(C)C,Z44326795,298.38,298.38,3.905,-4.616,1,3,62.12,9
N#CC(=CC1=CC=C(O1)C=2C=CC(=CC2)S(=O)(=O)N3CCOCC3)C(=O)NC4CCCCC4,Z44319304,469.555,469.555,3.672,-6.02,1,5,112.64,7
CCOC(=O)C=1C=CC(=CC1)NC(=O)C(C#N)=CC=2C=CC(OC=3C=CC(=CC3)C(C)(C)C)=C(C2)[N+]([O-])=O,Z44343752,513.542,513.542,7.341,-8.81,1,5,131.56,11
N#CC(=CC1=CN(N=C1C=2C=CC=NC2)C=3C=CC=CC3)C(=O)NC=4C=CC=CC4Cl,Z44324560,425.87,425.87,3.862,-5.979,1,4,83.6,6
CCOCCCNC(=O)C(C#N)=CC=1C=CC(=CC1)N(C)C,Z44326287,301.384,301.384,2.255,-2.778,1,4,65.36,9
CN1C=CN=C1SC=2C=CC(C=C(C#N)C(=O)NCC3CCCO3)=CC2[N+]([O-])=O,Z44330330,413.452,413.452,2.373,-5.02,1,6,123.08,8
N#CC(=CC1=CC=C(O1)C=2C=CC(Cl)=CC2)C(=O)NC3CC3,Z44338020,312.751,312.751,3.797,-5.28,1,2,66.03,5
CC=1C=CSC1C=C(C#N)C(=O)NC=2C(Cl)=CC=CC2Cl,Z44339762,337.224,337.224,3.206,-5.888,1,2,52.89,4
COC=1C=CC(=CC1Cl)NC(=O)C(C#N)=CC=2C=CC(=CC2)C(=O)O,Z44342592,356.76,356.76,3.486,-5.079,2,5,99.42,6
CCOC(=O)C=1C=CC(=CC1)NC(=O)C(C#N)=CC=2C=CC(OC(C)C)=C(C2)OC,Z44343779,408.448,408.448,4.45,-5.277,1,5,97.65,10
CC1=CC(C=C(C#N)C(=O)NC=2C=CC=CN2)=C(C)N1C3=CC=C(Cl)C(=C3)C(F)(F)F,Z44388209,444.837,444.837,5.981,-5.9,1,3,70.71,6
N#CC(=CC1=CC=C(O1)C=2C=CC(=CC2)S(=O)(=O)N3CCOCC3)C(=O)NC4=NC=CS4,Z44359607,470.525,470.525,2.638,-5.8,1,6,125.53,5
CCOC=1C=C(C=C(C#N)C(=O)NC(N)=O)C=CC1OCC(C)C,Z44390668,331.367,331.367,2.466,-4.16,2,5,114.44,9
COC=1C=CC(=CC1)NC(=O)C(C#N)=CC=2C=CC(OC(=O)C3=CC=CS3)=C(C2)OC,Z44378936,434.466,434.466,3.948,-6.337,1,5,97.65,9
CC1=NN(C(C)=C1C=C(C#N)C(=O)NC2=NC=CS2)C=3C=CC=CC3,Z44359796,349.412,349.412,3.275,-4.168,1,4,83.6,5
CC1=CC(C=C(C#N)C(=O)N2CCN3C2=NC=4C=CC=CC43)=C(C)N1C=5C=CC=C(C5)C(F)(F)F,Z44386173,475.466,475.466,6.12,-6.61,0,3,66.85,5
COC=1C=C(C=C(C#N)C(=O)NC=2C=CC=3OCCOC3C2)C=CC1OC(=O)C=4C=CC(F)=CC4,Z44390946,474.438,474.438,4.363,-7.025,1,6,106.88,8
COC=1C=CC(C=C(C#N)C(=O)NC=2C=CC=C(C2)S(=O)(=O)N3CCCCC3)=CC1,Z44371582,425.503,425.503,3.754,-5.044,1,5,99.5,7
N#CC(=CC=1C=CC(=CC1)C(F)(F)F)C(=O)NC=2C=CC=C(C2)S(=O)(=O)N3CCCCC3,Z44371584,463.475,463.475,4.718,-5.999,1,4,90.27,7
CC(C)C=1C=CC(C=C(C#N)C(=O)NC=2C=CC=C(C2)S(=O)(=O)N3CCCCC3)=CC1,Z44371604,437.557,437.557,5.262,-6.46,1,4,90.27,7
CC=1C=CSC1C=C(C#N)C(=O)NC=2C=CC=C(C2)S(=O)(=O)N3CCCCC3,Z44371619,415.532,415.532,3.98,-5.229,1,4,90.27,6
CCOC(=O)C=1C(=CSC1NC(=O)C(C#N)=CC=2C(C)=NN(C2Cl)C=3C=CC(F)=CC3)C=4C=CC(C)=CC4,Z44375034,549.018,549.018,7.587,-9.33,1,4,97.01,9
N#CC(=CC=1C=CC=CC1)C(=O)NC=2C=CC(=CC2)N3CCOCC3,Z44389875,333.385,333.385,2.443,-4.6,1,4,65.36,5
N#CC(=CC=1C=CC=CC1OCC=2C=CC=CC2)C(=O)NC=3C=CC=CN3,Z44388168,355.39,355.39,4.005,-5.46,1,4,75.01,6
N#CC(=CC=1C=CC=CC1C(F)(F)F)C(=O)NC2=NC=CS2,Z44359496,323.295,323.295,3.106,-4.901,1,3,65.78,5
N#CC(=CC=1C=CC(=CC1)C(=O)O)C(=O)NC2=NC=CS2,Z44359503,299.306,299.306,1.966,-3.998,2,5,103.08,5
CCN(CC)C(=O)C(C#N)=CC=1C=C(O)C(=CC1Br)OC,Z44396792,353.211,353.211,2.722,-3.71,1,4,73.56,6
COC=1C=CC(=CC1)N2CCN(CC2)C(=O)C(C#N)=CC=3C=CC=CC3,Z44406591,347.411,347.411,3.475,-4.727,0,4,56.57,5
N#CC(=CC=1C=CC=NC1)C(=O)NC=2C=CC=CC2C(=O)O,Z44395097,293.278,293.278,2.157,-3.229,2,5,103.08,5
N#CC(=CC=1C=CC(C#N)=CC1)C(=O)NC=2C=C(Cl)C=CC2N3CCOCC3,Z44395652,392.839,392.839,2.898,-5.575,1,5,89.15,5
CCOC=1C=CC=CC1C=C(C#N)C(=O)NC=2C=CC=CC2C(=O)O,Z44395161,336.342,336.342,4.102,-4.692,2,5,99.42,7
N#CC(=CC=1C=CC=C(C1)NC(=O)C=2C=CC(Cl)=CC2Cl)C(=O)NC=3C=CC=CC3C(=O)O,Z44395343,480.3,480.3,5.031,-7.71,3,5,119.29,8
CC=1C=CC(C=C(C#N)C(=O)NC2=NC(=CS2)C=3C=CC(=CC3)C(C)(C)C)=CC1,Z44414306,401.526,401.526,6.646,-8.17,1,3,65.78,5
CC1=CC=C(C=C(C#N)C(=O)NC=2C=CC=CC2C(F)(F)F)O1,Z44410958,320.267,320.267,2.546,-4.829,1,2,66.03,5
CCOC=1C=C(C=C(C#N)C(=O)NC=2C=C(Cl)C=CC2N3CCOCC3)C=CC1OCC(N)=O,Z44395964,484.933,484.933,2.147,-5.58,2,7,126.91,10
COC=1C=CC=CC1N2CCN(CC2)C(=O)C(C#N)=CC3=CN(N=C3C=4C=CC=CC4)C=5C=CC=CC5,Z44408612,489.569,489.569,5.627,-6.77,0,5,74.39,6
COC(=O)C=1C=CC(C=C(C#N)C(=O)NC=2C=CC=CC2C(F)(F)F)=CC1,Z44411003,374.314,374.314,2.84,-5.51,1,3,79.19,7
CCN(CC)C(=O)C(C#N)=CC=1C=CC(=CC1)OC(F)F,Z44396577,294.297,294.297,2.82,-3.67,0,3,53.33,7
CCCCOC=1C=CC(C=C(C#N)C(=O)NC=2SC(C)=C(C)C2C(=O)OCC)=CC1OC,Z44397233,456.557,456.557,5.881,-6.76,1,5,97.65,12
CC=1C=CSC1C=C(C#N)C(=O)N2CCN(CC2)C=3C=CC=CC3,Z44407621,337.441,337.441,3.597,-4.906,0,3,47.34,4
CN1C=CN=C1SC=2C=CC(C=C(C#N)C(=O)NC=3C=CC=CC3C(F)(F)F)=CC2[N+]([O-])=O,Z44411144,473.43,473.43,3.421,-7.2,1,5,113.85,8
N#CC(=CC=1C=CC(=CC1)N2CCCC2)C(=O)NC=3C=CC(=CC3)C(=O)O,Z406385898,361.395,361.395,3.303,-4.86,2,5,93.43,6
N#CC(=CC=1C=NN(C1)C=2C=CC(Cl)=CC2)C(=O)NC=3C=CC=CC3Br,Z449783690,427.682,427.682,4.081,-5.922,1,3,70.71,5
O=C1CC(C(=O)N1C=2C=CC=C(C2)C(F)(F)F)N3CCN(CC3)S(=O)(=O)C=CC=4C=CC=CC4,Z44443972,493.501,493.501,4.767,-4.88,0,5,78,6
CCC=1C=CC=CC1NC=2N=C(N)N=C(CN3CCN(CC3)S(=O)(=O)C=CC=4C=CC=CC4)N2,Z44547086,479.6,479.6,4.769,-5.85,2,8,117.34,8
N#CN(CC1=NC(=CS1)C=2C(F)=CC=CC2F)C=3C=CC=CC3,Z1654783292,327.353,327.353,3.831,-5.183,0,3,39.92,4
CCN(CC(=O)NC1CCS(=O)(=O)C1)S(=O)(=O)C=CC=2C=CC=CC2,Z45467333,386.489,386.489,0.708,-2.825,1,5,100.62,8
O=S(=O)(C=CC=1C=CC(Cl)=CC1)NC2CCS(=O)(=O)C2,Z45510232,335.829,335.829,0.995,-3.121,1,4,80.31,4
CC(C)OC=1C=CC(=CC1NS(=O)(=O)C=CC=2C=CC=CC2)S(=O)(=O)N3CCCCC3,Z45600605,464.601,464.601,4.676,-4.989,1,5,92.78,8
CC1=C(NS(=O)(=O)C=CC=2C=CC=CC2)C(=O)N(C=3C=CC=CC3)N1C,Z45612785,369.439,369.439,1.71,-3.699,1,4,69.72,5
O=S(=O)(C=CC=1C=CC=CC1)NC=2C=C(C=CC2O)S(=O)(=O)NC=3C=CC=C(Cl)C3,Z45693285,464.945,464.945,4.188,-5.743,3,5,112.57,7
O=S(=O)(C=CC=1C=CC=CC1)N(CC2=CC=CO2)C3=CC=CC(F)=C3,Z738240810,357.4,357.4,4.368,-5.19,0,2,50.52,6
CC1=NN(CC=2C=CC(Cl)=CC2)C(Cl)=C1C=C(C#N)C(=O)NCC=3C=CC=CC3,Z46086392,425.311,425.311,4.79,-6.16,1,3,70.71,7
CC=1C=CC(C)=C(C1)NC(=O)C(C#N)=CC=2C=CC(SC3=NN=CN3C)=C(C2)[N+]([O-])=O,Z46102828,434.473,434.473,2.478,-7.43,1,6,126.74,7
N#CC(=CC1=CC=CS1)C(=O)NC=2C=CC=C3N=CC=CC23,Z46080000,305.356,305.356,3.141,-4.85,1,3,65.78,4
COC=1C=CC(C=C(C#N)C(=O)NC=2C=CC=C3N=CC=CC23)=C(C1)OC,Z46080032,359.379,359.379,3.503,-4.85,1,5,84.24,6
CC1=NN(C)C(C)=C1C=C(C#N)C(=O)NC=2C=CC=CC2Cl,Z46104872,314.77,314.77,1.761,-3.37,1,3,70.71,4
CCCCNC(=O)C(C#N)=CC1=C(Cl)N=C2C=CC=CN12,Z46146434,302.759,302.759,2.817,-4.677,1,3,70.19,6
COCCCNC(=O)C(C#N)=CC1=CN(N=C1C2=CC=3C=CC=CC3O2)C=4C=CC=CC4,Z46141919,426.468,426.468,4.623,-5.4,1,4,93.08,9
CC1=NN(CC=2C=CC=CC2Cl)C(Cl)=C1C=C(C#N)C(=O)NC(C)C,Z46142536,377.268,377.268,3.924,-5.05,1,3,70.71,6
CC1=NN(C(=C1C=C(C#N)C(=O)NC=2C=C(Cl)C=C(Cl)C2)N3CCCC3)C=4C=CC=CC4,Z46141456,466.363,466.363,5.633,-6.76,1,4,73.95,6
CC=1C(C=C(C#N)C(=O)NC2=NC=CS2)=C3C=CC=CN3C1C(=O)C=4C=CC(F)=CC4,Z46523556,430.456,430.456,4.56,-6.56,1,4,87.26,6
COC=1C=CC(=CC1)NC(=O)C(C#N)=CC2=CC=3C=CC=CC3N=C2N4CCOCC4,Z46566759,414.458,414.458,2.954,-5.69,1,6,87.48,6
N#CC(=CC=1C=CC(=CC1OC(F)F)OC(F)F)C(=O)NC=2C=CC(=CC2)N3CCOCC3,Z46597088,465.399,465.399,3.343,-5.63,1,6,83.82,9
C=CC(=O)N1CCC(CC1)C(=O)NC(C(=O)OCC)C2CCOCC2,Z1531301066,352.426,352.426,-0.525,-2.366,1,4,84.94,9
N#CC(=CC1=C(N=C2SC=CN12)C3CC3)C(=O)NC4CCCCC4,Z1450942730,340.445,340.445,3.224,-4.675,1,3,70.19,5
N#CC=1C=C(C=CC1F)N(C#N)CCCCCF,Z2040822276,249.26,249.26,2.726,-3.728,0,3,50.82,6
N#CC=1C=CC(=CC1)N(C(=O)C2CCN(CC2)S(=O)(=O)C=CC=3C=CC=CC3)C4CC4,Z1533897127,435.541,435.541,2.815,-5.09,0,4,81.48,7
N#CC(=CC=1C=NN(C1)CCCl)C(=O)NC2CCCCC2,Z1082248254,306.791,306.791,1.964,-3.026,1,3,70.71,6
N#CC(=CC1=NC=CN1CC(F)(F)F)C(=O)NC2=CC=CC=C2Br,Z1082250144,399.166,399.166,1.366,-4.424,1,3,70.71,6
