"Molecule (Canonical)","ExactMW","Source"
"COc1ccc(C=C(C#N)C(=O)NC2CCCCC2C)cc1O",314.16304256399997,"Screening"
"Cc1cccc(NC(=O)C(C#N)=Cc2cc(C)n(-c3cc(C(F)(F)F)ccc3Cl)c2C)c1",457.116874568,"Screening"
"CCCCc1ccc(NC(=O)C(C#N)=Cc2ccc(C(=O)OC)cc2)cc1",362.16304256399997,"Screening"
"N#CC(=Cc1ccccc1C(F)(F)F)C(=O)Nc1ccc(Cl)cc1Cl",384.004402928,"Screening"
"CCOC(=O)c1ccc(NC(=O)C(C#N)=Cc2cccc([N+](=O)[O-])c2)cc1",365.10117058000003,"Screening"
"N#CC(=Cc1ccc(-c2ccccc2)cc1)C(=O)NCCc1ccccc1",352.15756325999996,"Screening"
"CCCCc1ccc(NC(=O)C(C#N)=Cc2ccc(C(C)(C)C)cc2)cc1",360.22016351599996,"Screening"
"CCOC(=O)c1ccc(NC(=O)C(C#N)=Cc2ccc(OCC)cc2)cc1",364.14230712,"Screening"
"N#CC(=Cc1ccc2c(c1)OCCO2)C(=O)NC1CCCCC1",312.1473925,"Screening"
"CCc1cccc(CC)c1NC(=O)C(C#N)=Cc1sccc1C",324.12963426,"Screening"
"COc1ccc(CCNC(=O)C(C#N)=Cc2ccc(C(=O)O)cc2)cc1OC",380.1372217399999,"Screening"
"CCOc1ccccc1NC(=O)C(C#N)=Cc1ccc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)o1",507.14640651999997,"Screening"
"N#CC(=CC=Cc1ccccc1[N+](=O)[O-])C(=O)NC1CCCCC1",325.142641468,"Screening"
"COc1cc(Cl)c(C)cc1NC(=O)C(C#N)=Cc1ccccc1OC(F)F",392.07392646,"Screening"
"COc1ccc(C=C(C#N)C(=O)Nc2ccc(C(=O)O)cc2)cc1",322.095356928,"Screening"
"COc1ccc2ccccc2c1C=C(C#N)C(=O)NC1CCCCC1",334.168127944,"Screening"
"N#CC(=Cc1ccccc1OCC(=O)O)C(=O)NC1CCCCC1",328.14230712,"Screening"
"Cc1cccc(NC(=O)C(C#N)=Cc2cc(C)n(C3CC3)c2C)c1",319.168462292,"Screening"
"CCc1cccc(CC)c1NC(=O)C(C#N)=Cc1ccc(OC(=O)c2ccc(F)cc2)c(OC)c1",472.1798354999999,"Screening"
