"Molecule (Canonical)","ExactMW","label"
"Cc1ccc(C=C(C#N)C(N)=O)o1",176.058577496,"Covalent"
"COC(=O)C(C#N)=Cc1ccc(C(=O)OC)o1",235.048072388,"Covalent"
"CC(=O)Nc1ccc(C=C(C#N)C(N)=O)cc1",229.085126592,"Covalent"
"Cc1ccc(C=C(C#N)C(=O)NC(C)C)o1",218.105527688,"Covalent"
"Cc1ccc(C)c(C=C(C#N)C(=O)NC(C)C)c1",242.141913196,"Covalent"
"C=CCNC(=O)C(C#N)=Cc1ccc(OC)cc1",242.105527688,"Covalent"
"C=CCNC(=O)C(C#N)=Cc1ccc(C)o1",216.089877624,"Covalent"
"CCOC(=O)C(C#N)=CNC(=O)c1ccco1",234.0640568,"Covalent"
"N#C/C(=C\c1ccoc1)C(=O)O",163.02694302,"Covalent"
"N#C/C(=C\c1ccc2[nH]ncc2c1)C(=O)O",213.053826464,"Covalent"
"COc1cc(C=C(C#N)C(N)=O)ccc1O",218.06914218,"Covalent"
"N#CC(=Cc1cccs1)C(N)=O",178.020083812,"Covalent"
"CC(C)c1ccc(C=C(C#N)C(=O)O)cc1",215.094628656,"Covalent"
"COc1ccc(C=C(C#N)C(=O)O)cc1C#N",228.053492116,"Covalent"
"CC(C)(C)C(=O)C(C#N)=Cc1cccnc1Cl",248.071640716,"Covalent"
"COC(=O)C(C#N)=CC1=Cc2ccccc2OC1",241.073893212,"Covalent"
"N#CC(=Cc1ccccc1)C(=O)NC1CC1",212.094963004,"Covalent"
"N#CC(=Cc1ccco1)C(=O)NC1CC1",202.07422756,"Covalent"
"N#CC(=Cc1ccccc1)C(=O)N1CCCC1",226.110613068,"Covalent"
"N#CCOc1ccc(C=C(C#N)C(N)=O)cc1",227.069476528,"Covalent"
"N#CC(=Cc1cc2cc(F)ccc2o1)C(=O)O",231.033171272,"Covalent"
"COCC(C)NC(=O)C(C#N)=Cc1occc1C",248.116092372,"Covalent"
"CNC(=O)C(C#N)=Cc1nc2ccccc2n1C",240.101111004,"Covalent"
"CCCNC(=O)C(C#N)=Cc1oc(C)nc1C",233.11642672,"Covalent"
"N#CC(=Cc1ccsc1)C(N)=O",178.020083812,"Covalent"
"Cn1cc(C=C(C#N)C(=O)O)cn1",177.053826464,"Covalent"
"N#CC(=Cc1ccc(Cl)s1)C(N)=O",211.98111146,"Covalent"
"N#CC(=Cc1ccc2c(c1)OCO2)C(=O)O",217.037507704,"Covalent"
"COC(=O)C(C#N)=Cc1ccc(OC)cc1",217.073893212,"Covalent"
"Cc1cc(C=C(C#N)C(=O)O)c(C)n1C1CC1",230.105527688,"Covalent"
"CCc1cccc2c(C=C(C#N)C(N)=O)c[nH]c12",239.105862036,"Covalent"
"Cc1[nH]c2ccccc2c1C=C(C#N)C(N)=O",225.090211972,"Covalent"
"CC(C)NC(=O)C(C#N)=Cc1cccc(Cl)c1",248.071640716,"Covalent"
"Cc1ccc(C=C(C#N)C(=O)N2CCCC2)cc1",240.126263132,"Covalent"
"CC(C)OC(=O)C(C#N)=Cc1cnn(C)c1",219.100776656,"Covalent"
"N#CC(=Cc1cc2cc(F)ccc2o1)C(N)=O",230.049155684,"Covalent"
"N#CC(=Cc1cccc(-c2ccncc2)c1)C(N)=O",249.090211972,"Covalent"
"CC(C)OC(=O)C(C#N)=Cc1cnn(C)n1",220.096025624,"Covalent"
"CNC(=O)C(C#N)=Cc1ccc(O)c(C(C)C)c1",244.121177752,"Covalent"
"N#CC(=Cc1ccc(OC(F)F)cc1)C(=O)O",239.039399524,"Covalent"
"COc1ccc(OC)c(C=C(C#N)C(N)=O)c1",232.084792244,"Covalent"
"Cc1ccc(C=C(C#N)C(=O)N2CCCC2)s1",246.082684068,"Covalent"
"C=CCNC(=O)C(C#N)=Cc1ccccc1OC",242.105527688,"Covalent"
"C=CCNC(=O)C(C#N)=Cc1sccc1C",232.067034004,"Covalent"
"C=CCNC(=O)C(C#N)=Cc1c(F)cccc1F",248.07611938,"Covalent"
"COC(=O)c1cc(C=C(C#N)C(N)=O)oc1C",234.0640568,"Covalent"
"N#CC(=Cc1cc(C#N)cs1)C(=O)NC(N)=O",246.021146432,"Covalent"
"CC(C)OC(=O)C(C#N)=Cc1ccc(O)nc1",232.084792244,"Covalent"
"CCCNC(=O)C(C#N)=Cc1cnnn1C1CC1",245.12766009999999,"Covalent"
"CCCNC(=O)C(C#N)=Cc1c(C)ccnc1C",243.137162164,"Covalent"
"N#CC(=Cc1ccc(O)cc1)C(=O)N1CCCC1",242.105527688,"Covalent"
"N#CC(=Cc1ccc(Cl)c(Cl)c1)C(=O)O",240.96973376,"Covalent"
"Cc1ccc(C=C(C#N)C(=O)NC2CC2)s1",232.067034004,"Covalent"
"Cc1cc(C=C(C#N)C(=O)O)c(C)n1CC(C)C",246.136827816,"Covalent"
"N#CC(=Cc1cnn(-c2ccccc2)c1)C(=O)O",239.069476528,"Covalent"
"CCOC(=O)C(C#N)=Cc1cc2ccccc2o1",241.073893212,"Covalent"
"CC(C)NC(=O)C(C#N)=Cc1cccnc1",215.105862036,"Covalent"
"CC(C)NC(=O)C(C#N)=Cc1ccccc1",214.110613068,"Covalent"
"C=CCNC(=O)C(C#N)=Cc1ccc(C)s1",232.067034004,"Covalent"
"Cc1ccoc1C=C(C#N)C(=O)NC(N)=O",219.064391148,"Covalent"
"CCCNC(=O)C(C#N)=Cc1ccn(CC)c1",231.137162164,"Covalent"
"CCCNC(=O)C(C#N)=Cc1ccncc1Cl",249.066889684,"Covalent"
"Cc1nc(C=C(C#N)C(=O)NC(C)C)[nH]c1C",232.132411132,"Covalent"
