sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(NC1CCC(=O)NC1=O)C=2NN=C3C=C(C=CC23)OC(F)(F)F,Z1474296518,356.257,356.257,2.081,-4.382,3,5,113.18,4,https://real.enamine.net/public-enum-files/Z1474296518
CN1N=NC(CNC(=O)C=2N=CN3C=CC=CC23)=C1C(=O)NC4CCC(=O)NC4=O,Z9302745095,410.388,410.388,-1.238,-2.23,3,7,152.38,5,https://real.enamine.net/public-enum-files/Z9302745095
O=C(NC1CCC(=O)NC1=O)C2=CSC(=C2)CNC(=O)C3=CC=C4NC=CC4=C3,Z9302745110,410.448,410.448,0.915,-4.9,4,4,120.16,5,https://real.enamine.net/public-enum-files/Z9302745110
CCCN1C=C(N=N1)C(=O)NCC2=CC(=CS2)C(=O)NC3CCC(=O)NC3=O,Z9302745113,404.445,404.445,-0.35,-2.651,3,6,135.08,7,https://real.enamine.net/public-enum-files/Z9302745113
O=C(NC1CCC(=O)NC1=O)C=2C=NNC2CCNC(=O)C3CCC=4C=CC=CC43,Z9302745120,409.439,409.439,-0.336,-3.373,4,5,133.05,6,https://real.enamine.net/public-enum-files/Z9302745120
O=C(O)C(F)(F)F.CCN1CCOC(C1)C(=O)NCC=2C=COC2C(=O)NC3CCC(=O)NC3=O,Z9311796102,506.431,392.407,-1.279,-2.566,3,6,129.98,7,https://real.enamine.net/public-enum-files/Z9311796102
CN1C=C(C=N1)C(O)C(=O)NCC=2C=C(ON2)C(=O)NC3CCC(=O)NC3=O,Z9302745162,390.352,390.352,-2.798,-0.802,4,7,168.45,6,https://real.enamine.net/public-enum-files/Z9302745162
CNC=1C=C(C=CN1)C(=O)NCC=2C=CSC2C(=O)NC3CCC(=O)NC3=O,Z9302745221,401.442,401.442,0.165,-3.226,4,6,129.29,6,https://real.enamine.net/public-enum-files/Z9302745221
O=C(NC1CCC(=O)NC1=O)C2=CC(CNC(=O)C=3C=CC=4NC=CC4N3)=NN2,Z9302745237,395.373,395.373,0.539,-3.158,5,6,161.73,5,https://real.enamine.net/public-enum-files/Z9302745237
O=C(NC1CCC(=O)NC1=O)C2=COC=3CN(CC23)C(=O)C=4C=CC=C5OC=CC45,Z9302745281,407.377,407.377,0.523,-4.442,2,4,121.86,3,https://real.enamine.net/public-enum-files/Z9302745281
O=C(NCC1=CC(=NO1)C(=O)NC2CCC(=O)NC2=O)C=3OC=C4CCCC34,Z9302745301,386.36,386.36,-0.13,-3.182,3,5,143.54,5,https://real.enamine.net/public-enum-files/Z9302745301
CC1(C#CC(=O)NCCC2=CC(=NO2)C(=O)NC3CCC(=O)NC3=O)CCCO1,Z9302745341,402.402,402.402,-0.895,-2.77,3,6,139.63,7,https://real.enamine.net/public-enum-files/Z9302745341
O=C(NC1CCC(=O)NC1=O)C=2C=NN(C2)CCNC(=O)C=3C=C4C=CNC4=CN3,Z9302745343,409.4,409.4,-0.153,-2.462,4,6,150.87,6,https://real.enamine.net/public-enum-files/Z9302745343
O=C(NC1CCC(=O)NC1=O)C=2C=NN(C2)CCNC(=O)C=3C=CC=C4OC=CC34,Z9302745350,409.396,409.396,0.28,-3.365,3,5,135.33,6,https://real.enamine.net/public-enum-files/Z9302745350
O=C(O)C(F)(F)F.CCN1CCOCC1C(=O)NCCN2C=C(C=N2)C(=O)NC3CCC(=O)NC3=O,Z9312344234,520.461,406.437,-0.852,-1.583,3,7,134.66,8,https://real.enamine.net/public-enum-files/Z9312344234
O=C(NCC=1OC=NC1C(=O)NC2CCC(=O)NC2=O)C=3C=NN4C=CC=CC34,Z9302745364,396.358,396.358,-0.904,-2.655,3,6,147.7,5,https://real.enamine.net/public-enum-files/Z9302745364
CC(C)(C)C1=NN=C(N1)C(=O)NC2CCC(=O)NC2=O,Z9213939915,279.296,279.296,0.16,-1.29,3,5,116.84,3,https://real.enamine.net/public-enum-files/Z9213939915
O=C(NC1CCC(=O)NC1=O)C=2C=NN3C(=O)C=CNC23,Z2028768398,289.248,289.248,-2.447,-1.911,3,6,122.19,2,https://real.enamine.net/public-enum-files/Z2028768398
O=C(NC1CCC(=O)NC1=O)C2=CC(CC=3C=CC=CC3)=NN2,Z2033421421,312.324,312.324,1.352,-3.112,3,4,103.95,4,https://real.enamine.net/public-enum-files/Z2033421421
CC=1C=CC(=CC1)N2N=C(Br)C=C2C(=O)NC3CCC(=O)NC3=O,Z1474303649,391.22,391.22,2.077,-4.65,2,4,93.09,3,https://real.enamine.net/public-enum-files/Z1474303649
O=C(NC1CCC(=O)NC1=O)C=2N=C(C=3C=CC=CC3)N(N2)C4=CC=CC(=C4)C(F)(F)F,Z1474292452,443.38,443.38,3.264,-5.256,2,5,105.98,5,https://real.enamine.net/public-enum-files/Z1474292452
CC1=C(SC=2N=C(N=C(C)C12)C3=CC=CO3)C(=O)NC4CCC(=O)NC4=O,Z1474304187,384.411,384.411,1.781,-4.934,2,5,114.19,3,https://real.enamine.net/public-enum-files/Z1474304187
O=C(NC1CCC(=O)NC1=O)C2=CN=C(S2)C=3C=NC=CN3,Z1474294360,317.325,317.325,-0.759,-1.328,2,6,113.94,3,https://real.enamine.net/public-enum-files/Z1474294360
CC(C)(C)N1C=C(C(=O)NC2CCC(=O)NC2=O)C(=N1)C=3C=CC(F)=CC3F,Z1474294749,390.385,390.385,1.916,-3.864,2,4,93.09,4,https://real.enamine.net/public-enum-files/Z1474294749
O=C(NC1CCC(=O)NC1=O)C=2SC=NC2C(F)(F)F,Z2229190131,307.251,307.251,-0.957,-2.953,2,4,88.16,3,https://real.enamine.net/public-enum-files/Z2229190131
CCC=1N=C2C=CC(Cl)=CN2C1C(=O)NC3CCC(=O)NC3=O,Z2186631548,334.758,334.758,1.725,-3.326,2,4,92.57,3,https://real.enamine.net/public-enum-files/Z2186631548
CCOC=1C=CC(=CC1)C2=NC(CC)=C(S2)C(=O)NC3CCC(=O)NC3=O,Z1942346971,387.455,387.455,2.644,-4.643,2,5,97.39,6,https://real.enamine.net/public-enum-files/Z1942346971
CCCCN1C=C(C(=O)NC2CCC(=O)NC2=O)C(C)=N1,Z1720098176,292.334,292.334,0.264,-1.627,2,4,93.09,5,https://real.enamine.net/public-enum-files/Z1720098176
O=C(NC1CCC(=O)NC1=O)C2=CN=C(CC=3C=CC=CC3F)S2,Z1727213984,347.366,347.366,1.523,-3.1,2,4,88.16,4,
CC1=NNC(=C1C(=O)NC2CCC(=O)NC2=O)C(F)F,Z1474294822,286.235,286.235,-1.041,-1.943,3,4,103.95,3,https://real.enamine.net/public-enum-files/Z1474294822
O=C(NC1CCC(=O)NC1=O)C=2C(=NNC2C(F)(F)F)C(F)(F)F,Z1474298588,358.197,358.197,-1.124,-3.506,3,4,103.95,4,
O=C(NC1CCC(=O)NC1=O)C2=CNN=C2C3=CC4=CC=CC=C4O3,Z1766397644,338.318,338.318,1.583,-3.629,3,4,117.09,3,https://real.enamine.net/public-enum-files/Z1766397644
CC=1OC(=C(C(=O)NC2CCC(=O)NC2=O)C1C)C=3C=CC=CC3,Z1766397666,326.347,326.347,1.63,-3.958,2,3,88.41,3,https://real.enamine.net/public-enum-files/Z1766397666
O=C(NC1CCC(=O)NC1=O)C=2SC=C3OCCOC23,Z2497637980,296.301,296.301,0.1,-2.66,2,5,93.73,2,https://real.enamine.net/public-enum-files/Z2497637980
CCC=1C=C(SC1C=2C=CC=CC2)C(=O)NC3CCC(=O)NC3=O,Z2497637999,342.414,342.414,2.872,-5.252,2,3,75.27,4,https://real.enamine.net/public-enum-files/Z2497637999
CC(C)(C)N1N=NC(=N1)C(=O)NC2CCC(=O)NC2=O,Z2514845321,280.284,280.284,-1.114,-0.543,2,6,118.87,3,https://real.enamine.net/public-enum-files/Z2514845321
CC=1C=C(OC1C(=O)NC2CCC(=O)NC2=O)S(N)(=O)=O,Z2634432230,315.304,315.304,-1.76,-2.396,3,5,148.57,3,https://real.enamine.net/public-enum-files/Z2634432230
O=C(NC1CCC(=O)NC1=O)C=2N=CNC2C(F)(F)F,Z2634432520,290.199,290.199,-1.063,-2.731,3,4,103.95,3,https://real.enamine.net/public-enum-files/Z2634432520
CC(C)N1C=C(C(=O)NC2CCC(=O)NC2=O)C(=N1)C3CCOCC3,Z2652487733,348.398,348.398,-1.063,-1.492,2,5,102.32,4,https://real.enamine.net/public-enum-files/Z2652487733
O=C(NC1CCC(=O)NC1=O)C2=C(Br)N=C3COCCN23,Z2659239759,357.16,357.16,-1.64,-2.325,2,5,102.32,2,https://real.enamine.net/public-enum-files/Z2659239759
