DATAID,SMILES,Name,IUPAC,StdInChl,StdInChIKey,Pharmacophore,Core,ResearchStage,TherapeuticUsage,logP_exp,logD_exp,logS_exp,KineticSolubility,ThermodynamicSolubility,RecruitingProtein_Affinity,IsActive,ModeOfAction,PrimaryTarget,PrimaryTargetDegInfo,DegronType,SecondaryTarget,SecondaryTargetDegInfo,RecruitingProtein,RecruitingProtein_UniProtID,AntiCellProliferation,TernaryEC50,PK,ADMET_profile,SafetyPharmacology,InVivoPD,SourceAddress_Website,PDB,glueCodeInPDB,CryoEM,Formula,MolWeight,ExactMass,clogP,logS,tPSA,HBACount,HBDCount,RotatableBondCount,Rings,AliphaticRings,AromaticRings,AliphaticHeteroRings,AromaticHeteroRings,HeavyAtoms,HeteroAtoms,SpiroAtoms,BridgeheadAtoms
1,[2H]C([2H])([2H])OC1=CC=C2C=C(C(=O)NC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)C=CC2=C1,36,"N-[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]-6-(trideuteriomethoxy)naphthalene-2-carboxamide","InChI=1S/C25H21N3O5/c1-33-19-6-4-14-10-16(3-2-15(14)12-19)23(30)26-18-5-7-20-17(11-18)13-28(25(20)32)21-8-9-22(29)27-24(21)31/h2-7,10-12,21H,8-9,13H2,1H3,(H,26,30)(H,27,29,31)/i1D3",JGWFFKIYBDZDFI-FIBGUPNXSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,1,non-covalent,IKZF2,70% degradation at 100 nM,G-loop_beta-hairpin,CK1α,62% degradation at 100 nM,CRBN,Q96SW2,,,,"Liver Microsome Metabolic Stability Assay:
mouse: t1/2 > 255 min; CLint < 5.4 μL/min/mg
; human: t1/2 = 4.8 min; CLint = 289.7 μL/min/mg",,,https://doi.org/10.1021/acs.jmedchem.3c01736,,,,C25H21N3O5,446.48,446.1670,2.86,-4.86,104.81,8,2,5,5,2,3,2,0,33,8,0,0
5,O=C1CCC(NC(=O)C2=C(F)C=C([N+](=O)[O-])C=C2)C(=O)N1,7d,"N-(2,6-dioxopiperidin-3-yl)-2-fluoro-4-nitrobenzamide","InChI=1S/C12H10FN3O5/c13-8-5-6(16(20)21)1-2-7(8)11(18)14-9-3-4-10(17)15-12(9)19/h1-2,5,9H,3-4H2,(H,14,18)(H,15,17,19)",CSOFOICJBYMWDE-UHFFFAOYSA-N,miscellaneous,Non-domideType,Discovery,,,,,,,,0,,,,,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1021/acs.jmedchem.3c00851,,,,C12H10FN3O5,295.23,295.0604,0.27,-1.18,118.41,8,2,3,2,1,1,1,0,21,9,0,0
7,O=C1CCC(NC(=O)C2=C(F)C=CC=C2[N+](=O)[O-])C(=O)N1,7f,"N-(2,6-dioxopiperidin-3-yl)-2-fluoro-6-nitrobenzamide","InChI=1S/C12H10FN3O5/c13-6-2-1-3-8(16(20)21)10(6)12(19)14-7-4-5-9(17)15-11(7)18/h1-3,7H,4-5H2,(H,14,19)(H,15,17,18)",NCKQLNUOHWBFEB-UHFFFAOYSA-N,miscellaneous,Non-domideType,Discovery,,,,,,,,0,,,,,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1021/acs.jmedchem.3c00851,,,,C12H10FN3O5,295.23,295.0604,0.27,-1.18,118.41,8,2,3,2,1,1,1,0,21,9,0,0
8,C[C@@]1(C(=O)NC2CCCCC2)CCC(=O)N1[C@H]1CCC(=O)NC1=O,"(S,S)-3b","(2S)-N-cyclohexyl-1-[(3S)-2,6-dioxopiperidin-3-yl]-2-methyl-5-oxopyrrolidine-2-carboxamide","InChI=1S/C17H25N3O4/c1-17(16(24)18-11-5-3-2-4-6-11)10-9-14(22)20(17)12-7-8-13(21)19-15(12)23/h11-12H,2-10H2,1H3,(H,18,24)(H,19,21,23)/t12-,17-/m0/s1",UCJGHPMMJYALRJ-SJCJKPOMSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,"Assay: microscale thermophoresis, IC50 = 298 μM",1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.mencom.2022.11.013,,,,C17H25N3O4,335.40,335.1845,0.62,-1.22,95.58,7,2,3,3,3,0,2,0,24,7,0,0
15,C[C@]1(C(=O)NC2CCCCC2)CCC(=O)N1[C@H]1CCC(=O)NC1=O,"(R,S)-3b","(2R)-N-cyclohexyl-1-[(3S)-2,6-dioxopiperidin-3-yl]-2-methyl-5-oxopyrrolidine-2-carboxamide","InChI=1S/C17H25N3O4/c1-17(16(24)18-11-5-3-2-4-6-11)10-9-14(22)20(17)12-7-8-13(21)19-15(12)23/h11-12H,2-10H2,1H3,(H,18,24)(H,19,21,23)/t12-,17+/m0/s1",UCJGHPMMJYALRJ-YVEFUNNKSA-N,miscellaneous,Non-domideType,Discovery,,,,,,,"Assay: microscale thermophoresis, IC50 >1000μM",1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.mencom.2022.11.013,,,,C17H25N3O4,335.40,335.1845,0.62,-1.22,95.58,7,2,3,3,3,0,2,0,24,7,0,0
23,C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H]1CCC(=O)NC1=O,Boc-AcQ,"tert-butylN-[(2S)-1-[[(3S)-2,6-dioxopiperidin-3-yl]amino]-1-oxopropan-2-yl]carbamate","InChI=1S/C13H21N3O5/c1-7(14-12(20)21-13(2,3)4)10(18)15-8-5-6-9(17)16-11(8)19/h7-8H,5-6H2,1-4H3,(H,14,20)(H,15,18)(H,16,17,19)/t7-,8-/m0/s1",XFMVRERIAUFQPH-YUMQZZPRSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,,0,,,,,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1038/s41467-024-52871-9,,,,C13H21N3O5,299.33,299.1481,-0.18,-0.36,113.60,8,3,3,1,1,0,1,0,21,8,0,0
48,CC(=O)C1=CC=C(C2N=C(NC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C=CN2)C=C1,ZXH-1-156,"3-[7-[[2-(4-acetylphenyl)-1,2-dihydropyrimidin-4-yl]amino]-3-oxo-1H-isoindol-2-yl]piperidine-2,6-dione","InChI=1S/C25H23N5O4/c1-14(31)15-5-7-16(8-6-15)23-26-12-11-21(28-23)27-19-4-2-3-17-18(19)13-30(25(17)34)20-9-10-22(32)29-24(20)33/h2-8,11-12,20,23,26H,9-10,13H2,1H3,(H,27,28)(H,29,32,33)",ZLQHIPQPTSJASJ-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,0,,,,,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1021/acschembio.0c00520,,,,C25H23N5O4,457.49,457.1750,2.28,-3.98,119.97,9,3,4,5,3,2,3,0,34,9,0,0
50,CC(=O)N([C@H](C(=O)NC(C)(C)C)C1=CC=C(C)C=C1)[C@H]1CCC(=O)NC1=O,"(S,S)-2a","(2S)-2-[acetyl-[(3S)-2,6-dioxopiperidin-3-yl]amino]-N-tert-butyl-2-(4-methylphenyl)acetamide","InChI=1S/C20H27N3O4/c1-12-6-8-14(9-7-12)17(19(27)22-20(3,4)5)23(13(2)24)15-10-11-16(25)21-18(15)26/h6-9,15,17H,10-11H2,1-5H3,(H,22,27)(H,21,25,26)/t15-,17-/m0/s1",JDWPBOIXGWSFER-RDJZCZTQSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,"Assay: microscale thermophoresis, IC50 = 267 μM",1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.mencom.2022.11.013,,,,C20H27N3O4,373.45,373.2002,1.60,-2.60,95.58,7,2,4,2,1,1,1,0,27,7,0,0
51,CC(=O)N([C@H](C(=O)NC1CCCCC1)C1=CC=C(C)C=C1)[C@H]1CCC(=O)NC1=O,"(S,S)-2b","(2S)-2-[acetyl-[(3S)-2,6-dioxopiperidin-3-yl]amino]-N-cyclohexyl-2-(4-methylphenyl)acetamide","InChI=1S/C22H29N3O4/c1-14-8-10-16(11-9-14)20(22(29)23-17-6-4-3-5-7-17)25(15(2)26)18-12-13-19(27)24-21(18)28/h8-11,17-18,20H,3-7,12-13H2,1-2H3,(H,23,29)(H,24,27,28)/t18-,20-/m0/s1",JEPJFAOKUIJZTO-ICSRJNTNSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,"Assay: microscale thermophoresis, IC50 = 142 μM",1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.mencom.2022.11.013,,,,C22H29N3O4,399.49,399.2158,2.14,-3.08,95.58,7,2,5,3,2,1,1,0,29,7,0,0
52,CC(=O)N([C@H]1CCC(=O)NC1=O)[C@@H](C(=O)NC(C)(C)C)C1=CC=C(C)C=C1,"(R,S)-2a","(2R)-2-[acetyl-[(3S)-2,6-dioxopiperidin-3-yl]amino]-N-tert-butyl-2-(4-methylphenyl)acetamide","InChI=1S/C20H27N3O4/c1-12-6-8-14(9-7-12)17(19(27)22-20(3,4)5)23(13(2)24)15-10-11-16(25)21-18(15)26/h6-9,15,17H,10-11H2,1-5H3,(H,22,27)(H,21,25,26)/t15-,17+/m0/s1",JDWPBOIXGWSFER-DOTOQJQBSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,"Assay: microscale thermophoresis, IC50 = 54.7±11.9",1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.mencom.2022.11.013,,,,C20H27N3O4,373.45,373.2002,1.60,-2.60,95.58,7,2,4,2,1,1,1,0,27,7,0,0
