stereo_smiles,LUMO_eV
O=C1CNC(=O)N1,-7.2864
CC(=O)NC(N)=O,-7.0241
CC1CC(=O)NC(=O)C1,-7.606958996
O=C1CC[C@H](NC(=O)c2cnc[nH]2)C(=O)N1,-8.037833951
O=C1CC[C@@H](NC(=O)c2ccc3ccncc3c2)C(=O)N1,-8.13472537
O=C1CC[C@H](NC(=O)c2ccc(F)cc2-c2ccc(Cl)c(Cl)c2)C(=O)N1,-8.115267492
O=C1CC[C@@H](NC(=O)c2ccc(F)cc2-c2ccc(Cl)c(Cl)c2)C(=O)N1,-8.115262926
Cc1nn(Cc2ccccc2Cl)c(Cl)c1C(=O)N[C@@H]1CCC(=O)NC1=O,-7.881429347
Cc1nn(Cc2ccccc2Cl)c(Cl)c1C(=O)N[C@H]1CCC(=O)NC1=O,-7.881674682
C[C@H](NC1=CC(=O)N([C@@H]2CCC(=O)NC2=O)C1=O)c1ccc(C(F)(F)F)cc1,-8.726890685
C[C@@H](NC1=CC(=O)N([C@@H]2CCC(=O)NC2=O)C1=O)c1ccc(C(F)(F)F)cc1,-8.724262773
C[C@H](NC1=CC(=O)N([C@H]2CCC(=O)NC2=O)C1=O)c1ccc(C(F)(F)F)cc1,-8.730056099
C[C@@H](NC1=CC(=O)N([C@H]2CCC(=O)NC2=O)C1=O)c1ccc(C(F)(F)F)cc1,-8.696696371
Cc1oc(C(=O)N[C@@H]2CCC(=O)NC2=O)cc1CN1C(=O)c2ccccc2C1=O,-8.691983422
Cc1oc(C(=O)N[C@H]2CCC(=O)NC2=O)cc1CN1C(=O)c2ccccc2C1=O,-8.692579283
O=C1CC[C@H](NC(=O)c2ccc3ccccc3n2)C(=O)N1,-8.090243489
O=C1CC[C@H](N2C(=O)c3ccc(OCc4cc(C5CC5)no4)cc3C2=O)C(=O)N1,-8.714675004
O=C1CC[C@@H](N2C(=O)c3ccc(OCc4cc(C5CC5)no4)cc3C2=O)C(=O)N1,-8.625412399
COc1cc(COc2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3=O)ccn1,-8.709237998
COc1cc(COc2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)ccn1,-8.625821255
