stereo_smiles,LUMO_eV
N#CN1CC[C@H](c2[nH]c(=O)ccc2-c2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3)C1,-7.933577182
N#CN1CC[C@@H](c2[nH]c(=O)ccc2-c2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3)C1,-8.07027261
N#CN1CC[C@H](c2[nH]c(=O)ccc2-c2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3)C1,-8.064748187
N#CN1CC[C@@H](c2[nH]c(=O)ccc2-c2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3)C1,-8.077256399
O=C1CC[C@H](NC(=O)c2cncc(-n3ccnn3)c2)C(=O)N1,-8.866304122
O=C1CC[C@@H](NC(=O)c2cncc(-n3ccnn3)c2)C(=O)N1,-8.866174683
N#CN1CC[C@H](c2ccc3c(c2)CC[C@@H]3C(=O)Nc2ccc([C@@H]3CCC(=O)NC3=O)cc2)C1,-7.669934316
N#CN1CC[C@@H](c2ccc3c(c2)CC[C@@H]3C(=O)Nc2ccc([C@@H]3CCC(=O)NC3=O)cc2)C1,-7.683114139
N#CN1CC[C@H](c2ccc3c(c2)CC[C@H]3C(=O)Nc2ccc([C@@H]3CCC(=O)NC3=O)cc2)C1,-7.681222628
N#CN1CC[C@@H](c2ccc3c(c2)CC[C@H]3C(=O)Nc2ccc([C@@H]3CCC(=O)NC3=O)cc2)C1,-7.680727516
N#CN1CC[C@H](c2ccc3c(c2)CC[C@@H]3C(=O)Nc2ccc([C@H]3CCC(=O)NC3=O)cc2)C1,-7.6876285
N#CN1CC[C@@H](c2ccc3c(c2)CC[C@@H]3C(=O)Nc2ccc([C@H]3CCC(=O)NC3=O)cc2)C1,-7.676620207
N#CN1CC[C@H](c2ccc3c(c2)CC[C@H]3C(=O)Nc2ccc([C@H]3CCC(=O)NC3=O)cc2)C1,-7.671894456
N#CN1CC[C@@H](c2ccc3c(c2)CC[C@H]3C(=O)Nc2ccc([C@H]3CCC(=O)NC3=O)cc2)C1,-7.680351276
O=C1CC[C@H](NC(=O)c2cnco2)C(=O)N1,-8.098087177
O=C1CC[C@@H](NC(=O)c2cnco2)C(=O)N1,-8.097931086
Cc1nc(CC(C)C)oc1C(=O)N[C@@H]1CCC(=O)NC1=O,-7.875320423
Cc1nc(CC(C)C)oc1C(=O)N[C@H]1CCC(=O)NC1=O,-7.863035892
CC(C)(CF)c1ncc(C(=O)N[C@@H]2CCC(=O)NC2=O)o1,-8.046584464
CC(C)(CF)c1ncc(C(=O)N[C@H]2CCC(=O)NC2=O)o1,-7.988293388
O=C1CC[C@H](NC(=O)c2cnc(S(=O)(=O)F)o2)C(=O)N1,-9.090483842
O=C1CC[C@@H](NC(=O)c2cnc(S(=O)(=O)F)o2)C(=O)N1,-9.396537026
CCc1nc(C)oc1C(=O)N[C@@H]1CCC(=O)NC1=O,-7.922403735
CCc1nc(C)oc1C(=O)N[C@H]1CCC(=O)NC1=O,-7.92264898
O=C1CC[C@H](N2Cc3c(Nc4ccnc(Nc5ccc6c(c5)CCN6)n4)cccc3C2=O)C(=O)N1,-7.938814074
O=C1CC[C@@H](N2Cc3c(Nc4ccnc(Nc5ccc6c(c5)CCN6)n4)cccc3C2=O)C(=O)N1,-7.892179825
N#CN1CC[C@H](c2cccc(-c3csc(C(=O)N[C@@H]4CCC(=O)NC4=O)n3)c2)C1,-8.098779409
N#CN1CC[C@@H](c2cccc(-c3csc(C(=O)N[C@@H]4CCC(=O)NC4=O)n3)c2)C1,-8.160196526
N#CN1CC[C@H](c2cccc(-c3csc(C(=O)N[C@H]4CCC(=O)NC4=O)n3)c2)C1,-8.263857322
N#CN1CC[C@@H](c2cccc(-c3csc(C(=O)N[C@H]4CCC(=O)NC4=O)n3)c2)C1,-8.191649668
