sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds
C=CC(=O)NCC=1C=CC(=CC1)C(=O)NC=2C=CC(=CC2)CC3NC(=O)NC3=O,Z1571691785,392.409,392.409,-0.203,-4.357,4,4,116.4,9
COC=1C=CC=C(C=CC(=O)NC2CCC(=O)NC2=O)C1,Z1269640198,288.299,288.299,1.01,-2.678,2,4,84.5,5
CCCN1C(C)=CC(C=C(C#N)C(=O)NC=2C=CC=3CNC(=O)C3C2)=C1C,Z941456086,362.426,362.426,3.104,-3.523,2,3,86.92,6
COC=1C=CC(=CC1OC)C2=NN(C=C2C=CC(=O)NC3=CC=CC=4C(=O)NC(=O)C34)C=5C=CC=CC5,Z56936275,494.499,494.499,4.828,-6.52,2,6,111.55,8
C=CC(=O)NC=1C=CC=C2C(=O)NCC12,Z2738283227,202.21,202.21,0.405,-2.276,2,2,58.2,3
C=CC(=O)N1CCCC2=CC(=CC=C21)C(=O)NC3(CC)CCC(=O)NC3=O,Z4240957335,369.415,369.415,2.05,-4.302,2,4,95.58,4
O=C1C=2C=CC(=CC2CN1C3CCC(=O)NC3=O)OS(=O)(=O)F,Z4613226589,342.301,342.301,-1.271,-3.077,1,5,109.85,3
C=CC(=O)N1CCCC1C(=O)NC=2C=CC=3C(=O)NC(=O)C3C2,Z4899496116,313.309,313.309,0.952,-3.775,2,4,95.58,3
O=C1C=CC(=O)N1C2CCC(=O)NC2=O,Z1269641799,208.171,208.171,-0.99,-1.425,1,4,83.55,1
COCCN1C(C)=CC(C=C(C#N)C(=O)OC=2C=CC(=CC2)CCC3(C)NC(=O)NC3=O)=C1C,Z192908106,464.515,464.515,2.576,-3.67,2,5,122.45,10
COC=1C=CC(C=C(C#N)C(=O)NC=2C=CC=C3C(=O)NC(=O)C23)=CC1,Z56593131,347.325,347.325,2.237,-4.8,2,5,108.29,4
N#CC1(CC1)NC(=O)CN2C=CC(=O)NC2=O,Z1210299337,234.212,234.212,-1.83,-1.619,2,4,102.3,4
C=CC(=O)N1CCC(CC1)C(=O)NC2=CC=C3CNC(=O)C3=C2,Z2204377246,313.352,313.352,-0.147,-2.898,2,3,78.51,3
O=C(C=1C=CC=2C(=O)N(CC2C1)C3CCC(=O)NC3=O)N4CCCO4,Z3543551790,343.335,343.335,-0.113,-3.582,1,5,96.02,3
CC1(C)OB(OC1(C)C)C=2C=CC=3C(=O)N(CC3C2)C4CCC(=O)NC4=O,Z3657566458,370.208,370.208,1.833,-3.864,1,5,84.94,2
C=CC(=O)N(CC1=CSC(=N1)C2CC2)C=3C=CC=4CNC(=O)C4C3,Z3837399955,339.413,339.413,2.022,-3.716,1,3,62.3,6
O=C(CCl)NN1C(=O)C2=CC=CC=C2C1=O,Z147651918,238.627,238.627,-0.266,-2.616,1,3,66.48,3
N#CC(=CC=1C=CC=CC1)C(=O)NC=2C=CC=C3C(=O)NC(=O)C23,Z56593130,317.299,317.299,2.318,-4.81,2,4,99.06,4
O=C(C=CC1=CN(N=C1C=2C=CC=3OCCOC3C2)C=4C=CC=CC4)NC=5C=CC=C6C(=O)NC(=O)C56,Z56935496,492.483,492.483,5.094,-6.99,2,6,111.55,6
O=C(C=CC=1C=NN(C1)C=2C=CC=CC2)NC=3C=CC=4CNC(=O)C4C3,Z941452662,344.368,344.368,2.707,-3.892,2,3,76.02,4
C=CC(=O)NC=1C=CC(=CC1)C2(CC)CCC(=O)NC2=O,Z1938018982,286.326,286.326,1.267,-3.106,2,3,75.27,5
C=CC(=O)NC=1C=CC=C(C1)C(=O)N2CCCCC2C3CCC(=O)NC3=O,Z4087440508,369.415,369.415,0.879,-3.752,2,4,95.58,4
C=C(F)C(=O)NC1=CC=CC=2C(=O)N(CC12)C3CCC(=O)NC3=O,Z4285242075,331.299,331.299,0.601,-3.424,2,4,95.58,4
O=C1C=2C=CC(=CC2C(=O)N1C3CCC(=O)NC3=O)OS(=O)(=O)F,Z4613228673,356.285,356.285,-1.048,-3.537,1,6,126.92,3
C=CC(=O)NC=1C=CC(=CC1)CC(=O)NC=2C=CC(Cl)=C3CNC(=O)C23,Z4899562024,369.802,369.802,1.826,-4.565,3,3,87.3,7
O=C1C=2C=C(C=CC2CN1C3CCC(=O)NC3=O)OS(=O)(=O)F,Z6569837298,342.301,342.301,-1.271,-3.077,1,5,109.85,3
