sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
"O=C(O)C(F)(F)F.NC[C@@H]1CCC[C@H](C#CC(=O)N2CCC(CC2)C=3C=CC(=CC3)N4CCC(=O)NC4=O)C1 |&1:9,13,r|",Z9675748658,550.571,436.548,0.663,-5.786,2,4,95.74,6,https://real.enamine.net/public-enum-files/Z9675748658
"O=C(O)C(F)(F)F.CO[C@@H]1CNC[C@H]1C2=CN(CC(=O)NC3=CC=CC(=C3C)N4CCC(=O)NC4=O)N=N2 |&1:9,13,r|",Z9675748656,541.481,427.458,-2.894,-2.732,3,7,130.48,7,https://real.enamine.net/public-enum-files/Z9675748656
"O=C(O)C(F)(F)F.O=C(N1CCC(CC1)C=2C=CC(=CC2)N3CCC(=O)NC3=O)[C@@]45CNC[C@H]5CS(=O)(=O)CC4 |&1:29,33,r|",Z9675748660,588.599,474.575,-0.694,-3.23,2,6,115.89,4,
"O=C(O)C(F)(F)F.CC1=CC(=CC(=C1)NC(=O)[C@@H]2CN(CC=3C=CC=CC3)C[C@H]2C4CCCCC4)N5CCC(=O)NC5=O |&1:17,28,r|",Z9675748662,602.646,488.622,3.971,-7.473,2,4,81.75,7,https://real.enamine.net/public-enum-files/Z9675748662
"O=C(O)C(F)(F)F.CC1=CC(=CC=C1N2CCC(=O)NC2=O)NC(=O)[C@@]34CNC[C@H]4CN(C)CC3 |&1:25,29,r|",Z9675748661,499.484,385.461,-0.434,-2.728,3,5,93.78,4,https://real.enamine.net/public-enum-files/Z9675748661
"O=C(O)C(F)(F)F.O=C(NC1=CC(Cl)=CC(=C1)N2CCC(=O)NC2=O)[C@@]34CNC[C@H]4S(=O)(=O)CCO3 |&1:25,29,r|",Z9675748657,556.899,442.875,-1.839,-4.228,3,7,133.91,4,https://real.enamine.net/public-enum-files/Z9675748657
"O=C(O)C(F)(F)F.O=C(N[C@H]1CNCC[C@H]1C2=CC=C(F)C(F)=C2)C=3C=CC(=CC3)N4CCC(=O)NC4=O |&1:10,15,r|",Z9675748659,542.456,428.433,0.741,-5.416,3,4,90.54,5,https://real.enamine.net/public-enum-files/Z9675748659
O=C1CCN(C(=O)N1)C=2C=CC(=CC2)C=3C=CN(N3)C4CC4(F)F,Z6475431565,332.306,332.306,0.896,-3.979,1,3,67.23,3,https://real.enamine.net/public-enum-files/Z6475431565
CCOC=1N=CC=C2OC(=CC12)C=3C=CC(C)=C(C3)N4CCC(=O)NC4=O,Z7407852591,365.383,365.383,2.822,-5.166,1,4,84.67,4,https://real.enamine.net/public-enum-files/Z7407852591
O=C(NS(=O)(=O)C1CCOC=2C=CC=CC21)C=3C=CC=C(C3)N4CCC(=O)NC4=O,Z7806350806,429.448,429.448,0.114,-4.407,2,6,121.88,3,https://real.enamine.net/public-enum-files/Z7806350806
CCC1=NC=2C=CC=CC2N1C3CCCN(C3)C(=O)C=4C=CC(OC)=C(C4)N5CCC(=O)NC5=O,Z8265610950,475.541,475.541,1.333,-4.592,1,5,96.77,5,https://real.enamine.net/public-enum-files/Z8265610950
COC=1C=CC(=CC1N2CCC(=O)NC2=O)C(=O)N(CC3=CC=CC(=C3)C=4C=CC=NC4)C5CC5,Z8265624356,470.521,470.521,1.661,-5.55,1,5,91.84,7,https://real.enamine.net/public-enum-files/Z8265624356
